seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
8,lstm_student,0.8067407000532538,0.0032493658390131265,0.012767394716730497,2.1389630810997318e-07,0.847,1.0,0.8637388569989118,0.9069830096285096,0.8575540951112537,0.295,True
9,lstm_student,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.03345399506628688,0.832,1.0,0.5433432425732221,0.5583302741572498,0.8735087969177279,0.329,True
42,lstm_student,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.038453211371306084,0.843,1.0,0.4684110600485434,0.7150748081726122,0.9060281720526635,0.813,True
0,neural_bekk_asym_diag,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.0798897786891769,0.892,1.0,0.0004730237657113445,0.0007377026131661912,0.9641990611284936,0.586,True
1,neural_bekk_asym_diag,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.0441224695136031,0.979,1.0,0.20458531383601208,0.21772103395724474,0.9514798113087366,1.0,True
2,neural_bekk_asym_diag,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.1715646729254644,0.991,1.0,0.04893084609604381,0.046453820848714744,0.9672998838955832,1.0,True
3,neural_bekk_asym_diag,0.5744312405273544,0.11593346518086627,0.2482373457408814,0.1697220516879534,0.988,1.0,0.18056236453989916,0.00041232083552322774,0.9501902917270036,0.853,True
4,neural_bekk_asym_diag,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.1490424685032098,0.98,1.0,0.0016415271901668582,0.005954716689670625,0.9534586536917384,1.0,True
5,neural_bekk_asym_diag,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.08349239139698805,0.96,1.0,0.017331710468135086,0.006514407211249518,0.9778280452335806,0.994,True
6,neural_bekk_asym_diag,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.06659110310536487,0.979,1.0,0.0008006259158328533,0.010793534160300156,0.9658349998775861,1.0,True
7,neural_bekk_asym_diag,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.04364695675477237,0.945,1.0,0.13289899307493958,0.10315598411625992,0.9553660178300519,1.0,True
8,neural_bekk_asym_diag,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.0991490560804249,0.944,1.0,0.016737296016093195,0.012567213492317042,0.9800351838100329,0.812,True
9,neural_bekk_asym_diag,0.8067407000532538,0.09250290332999839,0.2357326905150423,0.10572387299190056,0.996,1.0,0.7158551240906639,0.7682072002627468,0.8695211313918986,0.329,True
42,neural_bekk_asym_diag,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.0274570270279606,0.888,1.0,0.7239148703508721,0.016615752763885383,0.849044539163212,0.849,True
